booking_id,property_id,booking_date,Month Name,Day Name,weekday,no_guests,room_category,booking_platform,ratings_given,booking_status,Booking status,revenue_generated,revenue_realized,Revenue_lost,Week of Year,No of Days,dim_rooms,property_name,category,city,successful_bookings,capacity,Unsuccessful_bookings
May012216559RT17,16559,30-04-2022,April,Saturday,weekend day,2,RT1,others,null,Checked Out,1,11050,11050,0,18,1,Standard,Atliq Exotica,Luxury,Mumbai,25,30,5
May012216559RT18,16559,28-04-2022,April,Thursday,weeke day,1,RT1,direct online,null,Cancelled,0,11050,4420,6630,18,2,Standard,Atliq Exotica,Luxury,Mumbai,25,30,5
May012216559RT19,16559,29-04-2022,April,Friday,weeke day,1,RT1,others,5,Checked Out,1,11050,11050,0,18,1,Standard,Atliq Exotica,Luxury,Mumbai,25,30,5
May012216559RT110,16559,27-04-2022,April,Wednesday,weeke day,2,RT1,others,5,Checked Out,1,11050,11050,0,18,5,Standard,Atliq Exotica,Luxury,Mumbai,25,30,5
May012216559RT111,16559,28-04-2022,April,Thursday,weeke day,2,RT1,makeyourtrip,null,Checked Out,1,11050,11050,0,18,1,Standard,Atliq Exotica,Luxury,Mumbai,25,30,5
May012216559RT112,16559,11/4/2022,April,Monday,weeke day,1,RT1,journey,5,Checked Out,1,11050,11050,0,16,5,Standard,Atliq Exotica,Luxury,Mumbai,25,30,5
May012216559RT113,16559,26-04-2022,April,Tuesday,weeke day,2,RT1,others,null,Cancelled,0,11050,4420,6630,18,1,Standard,Atliq Exotica,Luxury,Mumbai,25,30,5
May012216559RT114,16559,10/4/2022,April,Sunday,weekend day,1,RT1,logtrip,null,Checked Out,1,11050,11050,0,16,6,Standard,Atliq Exotica,Luxury,Mumbai,25,30,5
May012216559RT115,16559,1/5/2022,May,Sunday,weekend day,2,RT1,tripster,null,Checked Out,1,11050,11050,0,19,2,Standard,Atliq Exotica,Luxury,Mumbai,25,30,5
May012216559RT116,16559,27-04-2022,April,Wednesday,weeke day,3,RT1,journey,null,Cancelled,0,12155,4862,7293,18,5,Standard,Atliq Exotica,Luxury,Mumbai,25,30,5
May012216559RT117,16559,25-04-2022,April,Monday,weeke day,4,RT1,direct offline,null,Cancelled,0,13260,5304,7956,18,2,Standard,Atliq Exotica,Luxury,Mumbai,25,30,5
May012216559RT118,16559,27-04-2022,April,Wednesday,weeke day,2,RT1,others,null,No Show,0,11050,11050,0,18,2,Standard,Atliq Exotica,Luxury,Mumbai,25,30,5
May012216559RT119,16559,29-04-2022,April,Friday,weeke day,2,RT1,direct offline,5,Checked Out,1,11050,11050,0,18,5,Standard,Atliq Exotica,Luxury,Mumbai,25,30,5
May012216559RT120,16559,27-04-2022,April,Wednesday,weeke day,2,RT1,makeyourtrip,5,Checked Out,1,11050,11050,0,18,1,Standard,Atliq Exotica,Luxury,Mumbai,25,30,5
May012216559RT121,16559,29-04-2022,April,Friday,weeke day,4,RT1,others,4,Checked Out,1,13260,13260,0,18,2,Standard,Atliq Exotica,Luxury,Mumbai,25,30,5
May012216559RT122,16559,27-04-2022,April,Wednesday,weeke day,2,RT1,makeyourtrip,null,Checked Out,1,11050,11050,0,18,5,Standard,Atliq Exotica,Luxury,Mumbai,25,30,5
May012216559RT123,16559,29-04-2022,April,Friday,weeke day,1,RT1,logtrip,null,Cancelled,0,11050,4420,6630,18,5,Standard,Atliq Exotica,Luxury,Mumbai,25,30,5
May012216559RT124,16559,27-04-2022,April,Wednesday,weeke day,2,RT1,others,null,Cancelled,0,11050,4420,6630,18,3,Standard,Atliq Exotica,Luxury,Mumbai,25,30,5
May012216559RT125,16559,29-04-2022,April,Friday,weeke day,2,RT1,logtrip,null,Checked Out,1,11050,11050,0,18,3,Standard,Atliq Exotica,Luxury,Mumbai,25,30,5
May012219562RT11,19562,25-04-2022,April,Monday,weeke day,3,RT1,others,null,Checked Out,1,10725,10725,0,18,5,Standard,Atliq Bay,Luxury,Bangalore,28,30,2
May012219562RT12,19562,29-04-2022,April,Friday,weeke day,1,RT1,journey,null,Cancelled,0,9750,3900,5850,18,1,Standard,Atliq Bay,Luxury,Bangalore,28,30,2
May012219562RT13,19562,28-04-2022,April,Thursday,weeke day,4,RT1,tripster,null,Cancelled,0,11700,4680,7020,18,1,Standard,Atliq Bay,Luxury,Bangalore,28,30,2
May012219562RT14,19562,11/4/2022,April,Monday,weeke day,2,RT1,others,5,Checked Out,1,9750,9750,0,16,1,Standard,Atliq Bay,Luxury,Bangalore,28,30,2
May012219562RT15,19562,26-04-2022,April,Tuesday,weeke day,2,RT1,tripster,5,Checked Out,1,9750,9750,0,18,6,Standard,Atliq Bay,Luxury,Bangalore,28,30,2
May012219562RT16,19562,29-04-2022,April,Friday,weeke day,3,RT1,logtrip,4,Checked Out,1,10725,10725,0,18,4,Standard,Atliq Bay,Luxury,Bangalore,28,30,2
May012219562RT17,19562,30-04-2022,April,Saturday,weekend day,1,RT1,others,5,Checked Out,1,9750,9750,0,18,1,Standard,Atliq Bay,Luxury,Bangalore,28,30,2
May012219562RT18,19562,28-04-2022,April,Thursday,weeke day,3,RT1,makeyourtrip,null,Cancelled,0,10725,4290,6435,18,1,Standard,Atliq Bay,Luxury,Bangalore,28,30,2
May012219562RT19,19562,26-04-2022,April,Tuesday,weeke day,2,RT1,direct offline,5,Checked Out,1,9750,9750,0,18,2,Standard,Atliq Bay,Luxury,Bangalore,28,30,2
May012219562RT110,19562,29-04-2022,April,Friday,weeke day,1,RT1,others,null,Cancelled,0,9750,3900,5850,18,1,Standard,Atliq Bay,Luxury,Bangalore,28,30,2
May012219562RT111,19562,27-04-2022,April,Wednesday,weeke day,2,RT1,tripster,null,Checked Out,1,9750,9750,0,18,1,Standard,Atliq Bay,Luxury,Bangalore,28,30,2
May012219562RT112,19562,24-04-2022,April,Sunday,weekend day,2,RT1,others,5,Checked Out,1,9750,9750,0,18,2,Standard,Atliq Bay,Luxury,Bangalore,28,30,2
May012219562RT113,19562,25-04-2022,April,Monday,weeke day,2,RT1,direct offline,5,Checked Out,1,9750,9750,0,18,3,Standard,Atliq Bay,Luxury,Bangalore,28,30,2
May012219562RT114,19562,29-04-2022,April,Friday,weeke day,3,RT1,makeyourtrip,4,Checked Out,1,10725,10725,0,18,1,Standard,Atliq Bay,Luxury,Bangalore,28,30,2
May012219562RT115,19562,26-04-2022,April,Tuesday,weeke day,2,RT1,makeyourtrip,null,Cancelled,0,9750,3900,5850,18,6,Standard,Atliq Bay,Luxury,Bangalore,28,30,2
May012219562RT116,19562,30-04-2022,April,Saturday,weekend day,3,RT1,journey,null,Cancelled,0,10725,4290,6435,18,2,Standard,Atliq Bay,Luxury,Bangalore,28,30,2
May012219562RT117,19562,24-04-2022,April,Sunday,weekend day,2,RT1,makeyourtrip,null,No Show,0,9750,9750,0,18,3,Standard,Atliq Bay,Luxury,Bangalore,28,30,2
May012219562RT118,19562,27-04-2022,April,Wednesday,weeke day,4,RT1,others,3,Checked Out,1,11700,11700,0,18,6,Standard,Atliq Bay,Luxury,Bangalore,28,30,2
May012219562RT119,19562,25-04-2022,April,Monday,weeke day,1,RT1,makeyourtrip,null,Cancelled,0,9750,3900,5850,18,1,Standard,Atliq Bay,Luxury,Bangalore,28,30,2
May012219562RT120,19562,26-04-2022,April,Tuesday,weeke day,3,RT1,makeyourtrip,null,No Show,0,10725,10725,0,18,3,Standard,Atliq Bay,Luxury,Bangalore,28,30,2
May012219562RT121,19562,30-04-2022,April,Saturday,weekend day,1,RT1,direct online,null,Checked Out,1,9750,9750,0,18,1,Standard,Atliq Bay,Luxury,Bangalore,28,30,2
May012219562RT122,19562,29-04-2022,April,Friday,weeke day,1,RT1,logtrip,5,Checked Out,1,9750,9750,0,18,2,Standard,Atliq Bay,Luxury,Bangalore,28,30,2
May012219562RT123,19562,28-04-2022,April,Thursday,weeke day,2,RT1,makeyourtrip,1,Checked Out,1,9750,9750,0,18,1,Standard,Atliq Bay,Luxury,Bangalore,28,30,2
May012219562RT124,19562,1/5/2022,May,Sunday,weekend day,4,RT1,makeyourtrip,null,Checked Out,1,11700,11700,0,19,1,Standard,Atliq Bay,Luxury,Bangalore,28,30,2
May012219562RT125,19562,30-04-2022,April,Saturday,weekend day,2,RT1,others,4,Checked Out,1,9750,9750,0,18,2,Standard,Atliq Bay,Luxury,Bangalore,28,30,2
May012219562RT126,19562,28-04-2022,April,Thursday,weeke day,2,RT1,others,2,Checked Out,1,9750,9750,0,18,1,Standard,Atliq Bay,Luxury,Bangalore,28,30,2
May012219562RT127,19562,26-04-2022,April,Tuesday,weeke day,2,RT1,tripster,3,Checked Out,1,9750,9750,0,18,6,Standard,Atliq Bay,Luxury,Bangalore,28,30,2
May012219562RT128,19562,28-04-2022,April,Thursday,weeke day,2,RT1,tripster,5,Checked Out,1,9750,9750,0,18,2,Standard,Atliq Bay,Luxury,Bangalore,28,30,2
May012219563RT11,19563,1/5/2022,May,Sunday,weekend day,1,RT1,logtrip,null,Cancelled,0,9750,3900,5850,19,3,Standard,Atliq Palace,Business,Bangalore,23,30,7
May012219563RT12,19563,1/5/2022,May,Sunday,weekend day,2,RT1,makeyourtrip,3,Checked Out,1,9750,9750,0,19,2,Standard,Atliq Palace,Business,Bangalore,23,30,7
May012219563RT13,19563,24-04-2022,April,Sunday,weekend day,1,RT1,others,null,Checked Out,1,9750,9750,0,18,1,Standard,Atliq Palace,Business,Bangalore,23,30,7
May012219563RT14,19563,30-04-2022,April,Saturday,weekend day,1,RT1,direct online,null,Checked Out,1,9750,9750,0,18,1,Standard,Atliq Palace,Business,Bangalore,23,30,7
May012219563RT15,19563,1/5/2022,May,Sunday,weekend day,1,RT1,others,4,Checked Out,1,9750,9750,0,19,2,Standard,Atliq Palace,Business,Bangalore,23,30,7
May012219563RT16,19563,27-04-2022,April,Wednesday,weeke day,2,RT1,others,3,Checked Out,1,9750,9750,0,18,1,Standard,Atliq Palace,Business,Bangalore,23,30,7
May012219563RT17,19563,1/5/2022,May,Sunday,weekend day,1,RT1,logtrip,null,Checked Out,1,9750,9750,0,19,1,Standard,Atliq Palace,Business,Bangalore,23,30,7
May012219563RT18,19563,29-04-2022,April,Friday,weeke day,1,RT1,makeyourtrip,3,Checked Out,1,9750,9750,0,18,3,Standard,Atliq Palace,Business,Bangalore,23,30,7
May012219563RT19,19563,1/5/2022,May,Sunday,weekend day,1,RT1,others,null,Checked Out,1,9750,9750,0,19,4,Standard,Atliq Palace,Business,Bangalore,23,30,7
May012219563RT110,19563,30-04-2022,April,Saturday,weekend day,1,RT1,logtrip,3,Checked Out,1,9750,9750,0,18,1,Standard,Atliq Palace,Business,Bangalore,23,30,7
May012219563RT111,19563,29-04-2022,April,Friday,weeke day,1,RT1,others,null,Checked Out,1,9750,9750,0,18,3,Standard,Atliq Palace,Business,Bangalore,23,30,7
May012219563RT112,19563,7/4/2022,April,Thursday,weeke day,1,RT1,logtrip,null,No Show,0,9750,9750,0,15,1,Standard,Atliq Palace,Business,Bangalore,23,30,7
May012219563RT113,19563,25-04-2022,April,Monday,weeke day,1,RT1,direct offline,null,Checked Out,1,9750,9750,0,18,1,Standard,Atliq Palace,Business,Bangalore,23,30,7
May012219563RT114,19563,30-04-2022,April,Saturday,weekend day,1,RT1,direct online,3,Checked Out,1,9750,9750,0,18,1,Standard,Atliq Palace,Business,Bangalore,23,30,7
May012219563RT115,19563,28-04-2022,April,Thursday,weeke day,1,RT1,others,3,Checked Out,1,9750,9750,0,18,2,Standard,Atliq Palace,Business,Bangalore,23,30,7
May012219563RT116,19563,30-04-2022,April,Saturday,weekend day,1,RT1,direct offline,null,Cancelled,0,9750,3900,5850,18,1,Standard,Atliq Palace,Business,Bangalore,23,30,7
May012219563RT117,19563,1/5/2022,May,Sunday,weekend day,1,RT1,logtrip,null,Cancelled,0,9750,3900,5850,19,2,Standard,Atliq Palace,Business,Bangalore,23,30,7
May012219563RT118,19563,29-04-2022,April,Friday,weeke day,1,RT1,logtrip,null,Cancelled,0,9750,3900,5850,18,2,Standard,Atliq Palace,Business,Bangalore,23,30,7
May012219563RT119,19563,1/5/2022,May,Sunday,weekend day,1,RT1,others,3,Checked Out,1,9750,9750,0,19,2,Standard,Atliq Palace,Business,Bangalore,23,30,7
May012219563RT120,19563,30-04-2022,April,Saturday,weekend day,1,RT1,direct online,null,Checked Out,1,9750,9750,0,18,1,Standard,Atliq Palace,Business,Bangalore,23,30,7
May012219563RT121,19563,1/5/2022,May,Sunday,weekend day,1,RT1,tripster,null,Cancelled,0,9750,3900,5850,19,1,Standard,Atliq Palace,Business,Bangalore,23,30,7
May012219563RT122,19563,1/5/2022,May,Sunday,weekend day,2,RT1,others,null,Checked Out,1,9750,9750,0,19,1,Standard,Atliq Palace,Business,Bangalore,23,30,7
May012219563RT123,19563,30-04-2022,April,Saturday,weekend day,1,RT1,others,3,Checked Out,1,9750,9750,0,18,2,Standard,Atliq Palace,Business,Bangalore,23,30,7
May012217558RT11,17558,11/4/2022,April,Monday,weeke day,2,RT1,others,null,Cancelled,0,11050,4420,6630,16,1,Standard,Atliq Grands,Luxury,Mumbai,13,19,6
May012217558RT12,17558,24-04-2022,April,Sunday,weekend day,2,RT1,others,null,Cancelled,0,11050,4420,6630,18,2,Standard,Atliq Grands,Luxury,Mumbai,13,19,6
May012217558RT13,17558,28-04-2022,April,Thursday,weeke day,1,RT1,others,null,No Show,0,11050,11050,0,18,6,Standard,Atliq Grands,Luxury,Mumbai,13,19,6
May012217558RT14,17558,7/4/2022,April,Thursday,weeke day,2,RT1,makeyourtrip,3,Checked Out,1,11050,11050,0,15,1,Standard,Atliq Grands,Luxury,Mumbai,13,19,6
May012217558RT15,17558,29-04-2022,April,Friday,weeke day,2,RT1,logtrip,null,Cancelled,0,11050,4420,6630,18,2,Standard,Atliq Grands,Luxury,Mumbai,13,19,6
May012217558RT16,17558,29-04-2022,April,Friday,weeke day,2,RT1,makeyourtrip,null,Checked Out,1,11050,11050,0,18,1,Standard,Atliq Grands,Luxury,Mumbai,13,19,6
May012217558RT17,17558,27-04-2022,April,Wednesday,weeke day,2,RT1,logtrip,null,No Show,0,11050,11050,0,18,6,Standard,Atliq Grands,Luxury,Mumbai,13,19,6
May012217558RT18,17558,1/5/2022,May,Sunday,weekend day,2,RT1,others,null,Cancelled,0,11050,4420,6630,19,6,Standard,Atliq Grands,Luxury,Mumbai,13,19,6
May012217558RT19,17558,25-04-2022,April,Monday,weeke day,1,RT1,others,null,Cancelled,0,11050,4420,6630,18,1,Standard,Atliq Grands,Luxury,Mumbai,13,19,6
May012217558RT110,17558,24-04-2022,April,Sunday,weekend day,4,RT1,others,3,Checked Out,1,13260,13260,0,18,1,Standard,Atliq Grands,Luxury,Mumbai,13,19,6
May012217558RT111,17558,28-04-2022,April,Thursday,weeke day,2,RT1,others,3,Checked Out,1,11050,11050,0,18,4,Standard,Atliq Grands,Luxury,Mumbai,13,19,6
May012217558RT112,17558,30-04-2022,April,Saturday,weekend day,2,RT1,others,null,Cancelled,0,11050,4420,6630,18,5,Standard,Atliq Grands,Luxury,Mumbai,13,19,6
May012217558RT113,17558,28-04-2022,April,Thursday,weeke day,4,RT1,journey,2,Checked Out,1,13260,13260,0,18,1,Standard,Atliq Grands,Luxury,Mumbai,13,19,6
May012217560RT11,17560,1/5/2022,May,Sunday,weekend day,1,RT1,tripster,3,Checked Out,1,11050,11050,0,19,1,Standard,Atliq City,Business,Mumbai,28,40,12
May012217560RT12,17560,1/5/2022,May,Sunday,weekend day,1,RT1,direct online,null,Checked Out,1,11050,11050,0,19,1,Standard,Atliq City,Business,Mumbai,28,40,12
May012217560RT13,17560,1/5/2022,May,Sunday,weekend day,2,RT1,others,null,Cancelled,0,11050,4420,6630,19,1,Standard,Atliq City,Business,Mumbai,28,40,12
May012217560RT14,17560,1/5/2022,May,Sunday,weekend day,2,RT1,direct online,null,Checked Out,1,11050,11050,0,19,1,Standard,Atliq City,Business,Mumbai,28,40,12
May012217560RT15,17560,29-04-2022,April,Friday,weeke day,1,RT1,others,null,Checked Out,1,11050,11050,0,18,3,Standard,Atliq City,Business,Mumbai,28,40,12
May012217560RT16,17560,1/5/2022,May,Sunday,weekend day,1,RT1,makeyourtrip,null,No Show,0,11050,11050,0,19,4,Standard,Atliq City,Business,Mumbai,28,40,12
May012217560RT17,17560,1/5/2022,May,Sunday,weekend day,1,RT1,makeyourtrip,null,Checked Out,1,11050,11050,0,19,1,Standard,Atliq City,Business,Mumbai,28,40,12
May012217560RT18,17560,30-04-2022,April,Saturday,weekend day,2,RT1,logtrip,3,Checked Out,1,11050,11050,0,18,1,Standard,Atliq City,Business,Mumbai,28,40,12
May012217560RT19,17560,1/5/2022,May,Sunday,weekend day,3,RT1,makeyourtrip,null,No Show,0,12155,12155,0,19,1,Standard,Atliq City,Business,Mumbai,28,40,12
May012217560RT110,17560,1/5/2022,May,Sunday,weekend day,2,RT1,direct online,3,Checked Out,1,11050,11050,0,19,2,Standard,Atliq City,Business,Mumbai,28,40,12
May012217560RT111,17560,29-04-2022,April,Friday,weeke day,1,RT1,direct offline,null,Checked Out,1,11050,11050,0,18,3,Standard,Atliq City,Business,Mumbai,28,40,12
May012217560RT112,17560,1/5/2022,May,Sunday,weekend day,3,RT1,others,null,Checked Out,1,12155,12155,0,19,2,Standard,Atliq City,Business,Mumbai,28,40,12
May012217560RT113,17560,27-04-2022,April,Wednesday,weeke day,2,RT1,others,3,Checked Out,1,11050,11050,0,18,3,Standard,Atliq City,Business,Mumbai,28,40,12
May012217560RT114,17560,1/5/2022,May,Sunday,weekend day,4,RT1,others,3,Checked Out,1,13260,13260,0,19,1,Standard,Atliq City,Business,Mumbai,28,40,12
May012217560RT115,17560,29-04-2022,April,Friday,weeke day,1,RT1,others,3,Checked Out,1,11050,11050,0,18,1,Standard,Atliq City,Business,Mumbai,28,40,12
May012217560RT116,17560,28-04-2022,April,Thursday,weeke day,4,RT1,others,null,Checked Out,1,13260,13260,0,18,2,Standard,Atliq City,Business,Mumbai,28,40,12
May012217560RT117,17560,29-04-2022,April,Friday,weeke day,1,RT1,others,4,Checked Out,1,11050,11050,0,18,2,Standard,Atliq City,Business,Mumbai,28,40,12
May012217560RT118,17560,28-04-2022,April,Thursday,weeke day,1,RT1,direct offline,null,Checked Out,1,11050,11050,0,18,2,Standard,Atliq City,Business,Mumbai,28,40,12
May012217560RT119,17560,1/5/2022,May,Sunday,weekend day,1,RT1,others,null,Cancelled,0,11050,4420,6630,19,1,Standard,Atliq City,Business,Mumbai,28,40,12
May012217560RT120,17560,1/5/2022,May,Sunday,weekend day,2,RT1,others,null,Checked Out,1,11050,11050,0,19,1,Standard,Atliq City,Business,Mumbai,28,40,12
May012217560RT121,17560,30-04-2022,April,Saturday,weekend day,1,RT1,direct offline,null,Checked Out,1,11050,11050,0,18,2,Standard,Atliq City,Business,Mumbai,28,40,12
May012217560RT122,17560,1/5/2022,May,Sunday,weekend day,2,RT1,logtrip,3,Checked Out,1,11050,11050,0,19,2,Standard,Atliq City,Business,Mumbai,28,40,12
May012217560RT123,17560,1/5/2022,May,Sunday,weekend day,1,RT1,others,3,Checked Out,1,11050,11050,0,19,2,Standard,Atliq City,Business,Mumbai,28,40,12
May012217560RT124,17560,30-04-2022,April,Saturday,weekend day,1,RT1,makeyourtrip,3,Checked Out,1,11050,11050,0,18,3,Standard,Atliq City,Business,Mumbai,28,40,12
May012217560RT125,17560,28-04-2022,April,Thursday,weeke day,1,RT1,others,3,Checked Out,1,11050,11050,0,18,2,Standard,Atliq City,Business,Mumbai,28,40,12
May012217560RT126,17560,26-04-2022,April,Tuesday,weeke day,1,RT1,makeyourtrip,null,Cancelled,0,11050,4420,6630,18,3,Standard,Atliq City,Business,Mumbai,28,40,12
May012217560RT127,17560,27-04-2022,April,Wednesday,weeke day,1,RT1,others,3,Checked Out,1,11050,11050,0,18,3,Standard,Atliq City,Business,Mumbai,28,40,12
May012217560RT128,17560,1/5/2022,May,Sunday,weekend day,1,RT1,others,3,Checked Out,1,11050,11050,0,19,1,Standard,Atliq City,Business,Mumbai,28,40,12
May012219558RT11,19558,7/4/2022,April,Thursday,weeke day,2,RT1,others,2,Checked Out,1,9750,9750,0,15,1,Standard,Atliq Grands,Luxury,Bangalore,25,40,15
May012219558RT12,19558,26-04-2022,April,Tuesday,weeke day,2,RT1,makeyourtrip,4,Checked Out,1,9750,9750,0,18,5,Standard,Atliq Grands,Luxury,Bangalore,25,40,15
May012219558RT13,19558,27-04-2022,April,Wednesday,weeke day,2,RT1,others,3,Checked Out,1,9750,9750,0,18,1,Standard,Atliq Grands,Luxury,Bangalore,25,40,15
May012219558RT14,19558,10/4/2022,April,Sunday,weekend day,2,RT1,logtrip,2,Checked Out,1,9750,9750,0,16,1,Standard,Atliq Grands,Luxury,Bangalore,25,40,15
May012219558RT15,19558,27-04-2022,April,Wednesday,weeke day,2,RT1,others,null,Checked Out,1,9750,9750,0,18,1,Standard,Atliq Grands,Luxury,Bangalore,25,40,15
May012219558RT16,19558,27-04-2022,April,Wednesday,weeke day,2,RT1,makeyourtrip,null,Checked Out,1,9750,9750,0,18,5,Standard,Atliq Grands,Luxury,Bangalore,25,40,15
May012219558RT17,19558,28-04-2022,April,Thursday,weeke day,2,RT1,direct online,null,Checked Out,1,9750,9750,0,18,4,Standard,Atliq Grands,Luxury,Bangalore,25,40,15
May012219558RT18,19558,27-04-2022,April,Wednesday,weeke day,1,RT1,makeyourtrip,null,Checked Out,1,9750,9750,0,18,1,Standard,Atliq Grands,Luxury,Bangalore,25,40,15
May012219558RT19,19558,28-04-2022,April,Thursday,weeke day,4,RT1,others,2,Checked Out,1,11700,11700,0,18,1,Standard,Atliq Grands,Luxury,Bangalore,25,40,15
May012219558RT110,19558,27-04-2022,April,Wednesday,weeke day,1,RT1,logtrip,null,Checked Out,1,9750,9750,0,18,1,Standard,Atliq Grands,Luxury,Bangalore,25,40,15
May012219558RT111,19558,24-04-2022,April,Sunday,weekend day,2,RT1,others,null,No Show,0,9750,9750,0,18,4,Standard,Atliq Grands,Luxury,Bangalore,25,40,15
May012219558RT112,19558,25-04-2022,April,Monday,weeke day,2,RT1,journey,null,Cancelled,0,9750,3900,5850,18,1,Standard,Atliq Grands,Luxury,Bangalore,25,40,15
May012219558RT113,19558,28-04-2022,April,Thursday,weeke day,3,RT1,others,null,Checked Out,1,10725,10725,0,18,5,Standard,Atliq Grands,Luxury,Bangalore,25,40,15
May012219558RT114,19558,11/4/2022,April,Monday,weeke day,3,RT1,makeyourtrip,null,Checked Out,1,10725,10725,0,16,1,Standard,Atliq Grands,Luxury,Bangalore,25,40,15
May012219558RT115,19558,11/4/2022,April,Monday,weeke day,2,RT1,others,3,Checked Out,1,9750,9750,0,16,2,Standard,Atliq Grands,Luxury,Bangalore,25,40,15
May012219558RT116,19558,28-04-2022,April,Thursday,weeke day,2,RT1,others,null,No Show,0,9750,9750,0,18,5,Standard,Atliq Grands,Luxury,Bangalore,25,40,15
May012219558RT117,19558,7/4/2022,April,Thursday,weeke day,2,RT1,others,null,Checked Out,1,9750,9750,0,15,1,Standard,Atliq Grands,Luxury,Bangalore,25,40,15
